CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
11,서울,11305,강북구,국심검도관(대무관),029888844,01222,서울특별시 강북구 월계로13길 7,B1(미아동),01,검도,127.0345366,37.6116915,장애인강좌,,
11,서울,11380,은평구,에블봄,0275760828,03452,서울 은평구 가좌로 306,5층 501호,22,태권도,126.9111651,37.5952017,장애인강좌,,
11,서울,11260,중랑구,에스바디워크필라테스 망우점,024327878,02163,서울특별시 중랑구 용마산로115길 108,(망우동)(망우동),79,필라테스,127.0941536,37.5980747,장애인강좌,,
11,서울,11215,광진구,군자복싱다이어트,024681282,04997,서울특별시 광진구 능동로 267,영진빌딩 2층(군자동),76,복싱,127.0774022,37.5539179,장애인강좌,,
11,서울,11200,성동구,서울숲탁구클럽,,04790,서울특별시 성동구 상원4길 9,서울시 성동구 상원4길9 지하(성수동1가),21,탁구,127.0497012,37.5472930,장애인강좌,,
11,서울,11380,은평구,에스핫요가,023845900,03301,서울특별시 은평구 진관3로 37,306호(진관동),78,요가,126.9204567,37.6404027,장애인강좌,,
11,서울,11650,서초구,굿볼아카데미 주식회사,028580066,06721,서울특별시 서초구 효령로 330-1,천심빌딩 5층(서초동),03,기타종목,127.0204214,37.4858294,장애인강좌,,
11,서울,11620,관악구,에이블키즈,0269560034,08787,서울특별시 관악구 남부순환로218길 27,관전G타워 지하1층(봉천동),03,기타종목,126.9504891,37.4800389,장애인강좌,,
11,서울,11410,서대문구,에이스복싱,027230401,03630,서울특별시 서대문구 통일로 436,우원빌딩 4층 1호 에이스복싱(홍제동),76,복싱,126.9456465,37.5881465,장애인강좌,,
11,서울,11530,구로구,궁동탁구클럽,,08249,서울특별시 구로구 오리로 1316,3층(궁동),21,탁구,126.8293621,37.4988215,장애인강좌,,
