DMAND_MVM_ITEM_LCLAS_NM,DMAND_MVM_ITEM_SCLAS_NM,LATST_ONE_FYER_MVM_EXPRN_PSN_DMAND_RATE,LATST_ONE_FYER_MVM_EXPRN_PSN_PREFER_RATE,LATST_ONE_FYER_MVM_NON_EXPRN_PSN_PREFER_RATE,DMAND_MVM_ITEM_IDEX_VALUE,DMAND_MVM_ITEM_IDEX_RANK_CO,COURSE_ITEM_NM,COURSE_ITEM_CO,COURSE_ITEM_RATE
구기및라켓류,당구,0,0,0,0,12,당구,137,1.90331
구기및라켓류,농구,0,0,0,0,12,농구,86,1.19478
구기및라켓류,테니스,0,0,0,0,12,테니스,22,0.30564
구기및라켓류,럭비,0,0,0,0,12,관련 강좌 없음,0,0
구기및라켓류,론볼,0,0,0,0,12,론볼,1,0.01389
구기및라켓류,골볼,0,0,0,0,12,골볼,1,0.01389
구기및라켓류,축구,0,0,0,0,12,축구,74,1.02806
구기및라켓류,볼링,0,0,0,0,12,볼링,203,2.82023
구기및라켓류,보치아,0,0,0,0,12,보치아,43,0.59739
구기및라켓류,배구,0,0,0,0,12,배구,8,0.11114
구기및라켓류,탁구,0.7,3.1,2.3,2.14,9,탁구,538,7.4743
구기및라켓류,배드민턴,0.5,0,2.2,1.42,11,배드민턴,148,2.05613
구기및라켓류,게이트볼,0,0,0,0,12,관련 강좌 없음,0,0
구기및라켓류,파라아이스하키(장애인아이스하키),0,0,0,0,12,관련 강좌 없음,0,0
구기및라켓류,구기및라켓류_그외종목,0,0,0,0,12,구기및라켓류_그외종목,26,0.36121
구기및라켓류,파크골프,0,0,0,0,12,관련 강좌 없음,0,0
기타스포츠,그외종목,0,0,0,0,12,관련 강좌 없음,0,0
기타스포츠,낚시,0,0,2.7,1.62,10,낚시,1,0.01389
기타스포츠,등산,4.5,7.6,4.6,5.18,4,관련 강좌 없음,0,0
레저스포츠,스킨스쿠버,0,0,0,0,12,관련 강좌 없음,0,0
레저스포츠,요트,0,0,0,0,12,관련 강좌 없음,0,0
레저스포츠,수상스키,0,0,0,0,12,관련 강좌 없음,0,0
레저스포츠,"스노우보드,스키",0,0,0,0,12,"스노우보드,스키",4,0.05557
레저스포츠,레저스포츠_그외종목,0,0,0,0,12,레저스포츠_그외종목,3,0.04168
레저스포츠,조정,0,0,0,0,12,조정,3,0.04168
레저스포츠,사격,0,0,0,0,12,관련 강좌 없음,0,0
무도/격투기,무도/격투기_그외종목,0,0,0,0,12,무도/격투기_그외종목,486,6.75188
무도/격투기,유도,0,0,0,0,12,유도,75,1.04196
무도/격투기,펜싱,0,0,0,0,12,펜싱,1,0.01389
무도/격투기,태권도,0,0,0,0,12,태권도,1024,14.22617
민속스포츠,양궁,0,0,0,0,12,양궁,11,0.15282
민속스포츠,민속스포츠_그외종목,0,0,0,0,12,관련 강좌 없음,0,0
체력단련및생활운동,"육상(걷기,마라톤제외)",0,0,0,0,12,관련 강좌 없음,0,0
체력단련및생활운동,역도,0,0,0,0,12,역도,2,0.02779
체력단련및생활운동,마라톤,0,0,0,0,12,마라톤,1,0.01389
체력단련및생활운동,댄스스포츠,0,0,0,0,12,댄스스포츠,19,0.26396
체력단련및생활운동,걷기및가벼운달리기,66.2,32.8,39.7,43.62,1,관련 강좌 없음,0,0
체력단련및생활운동,"자전거,사이클",6.9,6,0,2.58,8,관련 강좌 없음,0,0
체력단련및생활운동,요가,0.8,4.2,3.2,2.92,7,요가,322,4.47346
체력단련및생활운동,맨손체조,4.8,3,3.8,3.84,6,관련 강좌 없음,0,0
체력단련및생활운동,보디빌딩(웨이트트레이닝),6.7,5.3,2.7,4.02,5,관련 강좌 없음,0,0
체력단련및생활운동,재활운동,0,3.5,8.2,5.62,3,재활운동,487,6.76577
체력단련및생활운동,체력단련및생활운동_그외종목,0,0,0,0,12,체력단련및생활운동_그외종목,1173,16.29619
체력단련및생활운동,수영,2.2,15.3,12.7,11.12,2,수영,1086,15.08752
체력단련및생활운동,줄넘기,0,0,0,0,12,줄넘기,27,0.3751
